2017-05-10 14:30:09,199 [Thread-3] INFO  org.springframework.context.support.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@24105dc5: startup date [Wed May 10 14:29:25 CST 2017]; root of context hierarchy
2017-05-10 14:30:09,242 [Thread-3] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2017-05-10 14:31:04,869 [main] INFO  org.springframework.test.context.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-05-10 14:31:04,894 [main] INFO  org.springframework.test.context.support.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1807e3f6, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@480d3575, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@f1da57d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@194fad1, org.springframework.test.context.transaction.TransactionalTestExecutionListener@26abb146, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@72c8e7b]
2017-05-10 14:31:05,043 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [entry/dev/spring-entry.xml]
2017-05-10 14:31:05,168 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring.xml]
2017-05-10 14:31:05,448 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-redis.xml]
2017-05-10 14:31:05,473 [main] INFO  org.springframework.context.support.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@24105dc5: startup date [Wed May 10 14:31:05 CST 2017]; root of context hierarchy
2017-05-10 14:31:05,819 [main] INFO  org.springframework.beans.factory.config.PropertyPlaceholderConfigurer - Loading properties file from class path resource [entry/dev/spring.properties]
2017-05-10 14:31:05,820 [main] INFO  org.springframework.beans.factory.config.PropertyPlaceholderConfigurer - Loading properties file from class path resource [entry/dev/oss.properties]
2017-05-10 14:31:06,717 [main] INFO  io.searchbox.client.AbstractJestClient - Setting server pool to a list of 1 servers: [http://192.168.5.142:9200]
2017-05-10 14:31:06,720 [main] INFO  io.searchbox.client.JestClientFactory - Using multi thread/connection supporting pooling connection manager
2017-05-10 14:31:06,816 [main] INFO  io.searchbox.client.JestClientFactory - Using default GSON instance
2017-05-10 14:31:06,816 [main] INFO  io.searchbox.client.JestClientFactory - Node Discovery disabled...
2017-05-10 14:31:06,816 [main] INFO  io.searchbox.client.JestClientFactory - Idle connection reaping disabled...
2017-05-10 14:31:07,532 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2017-05-10 14:31:17,329 [Thread-3] INFO  org.springframework.context.support.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@24105dc5: startup date [Wed May 10 14:31:05 CST 2017]; root of context hierarchy
2017-05-10 14:31:17,341 [Thread-3] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2017-05-10 14:33:45,269 [main] INFO  org.springframework.test.context.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-05-10 14:33:45,317 [main] INFO  org.springframework.test.context.support.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1807e3f6, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@480d3575, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@f1da57d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@194fad1, org.springframework.test.context.transaction.TransactionalTestExecutionListener@26abb146, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@72c8e7b]
2017-05-10 14:33:45,538 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [entry/dev/spring-entry.xml]
2017-05-10 14:33:45,870 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring.xml]
2017-05-10 14:33:46,233 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-redis.xml]
2017-05-10 14:33:46,352 [main] INFO  org.springframework.context.support.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@24105dc5: startup date [Wed May 10 14:33:46 CST 2017]; root of context hierarchy
2017-05-10 14:33:46,971 [main] INFO  org.springframework.beans.factory.config.PropertyPlaceholderConfigurer - Loading properties file from class path resource [entry/dev/spring.properties]
2017-05-10 14:33:46,972 [main] INFO  org.springframework.beans.factory.config.PropertyPlaceholderConfigurer - Loading properties file from class path resource [entry/dev/oss.properties]
2017-05-10 14:33:47,819 [main] INFO  io.searchbox.client.AbstractJestClient - Setting server pool to a list of 1 servers: [http://192.168.5.142:9200]
2017-05-10 14:33:47,822 [main] INFO  io.searchbox.client.JestClientFactory - Using multi thread/connection supporting pooling connection manager
2017-05-10 14:33:47,918 [main] INFO  io.searchbox.client.JestClientFactory - Using default GSON instance
2017-05-10 14:33:47,918 [main] INFO  io.searchbox.client.JestClientFactory - Node Discovery disabled...
2017-05-10 14:33:47,918 [main] INFO  io.searchbox.client.JestClientFactory - Idle connection reaping disabled...
2017-05-10 14:33:48,547 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2017-05-10 14:33:59,818 [Thread-3] INFO  org.springframework.context.support.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@24105dc5: startup date [Wed May 10 14:33:46 CST 2017]; root of context hierarchy
2017-05-10 14:33:59,850 [Thread-3] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2017-05-10 14:35:41,414 [main] INFO  org.springframework.test.context.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-05-10 14:35:41,475 [main] INFO  org.springframework.test.context.support.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@17c386de, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5af97850, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@5ef60048, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1d548a08, org.springframework.test.context.transaction.TransactionalTestExecutionListener@16aa0a0a, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@780cb77]
2017-05-10 14:35:41,767 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [entry/dev/spring-entry.xml]
2017-05-10 14:35:41,906 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring.xml]
2017-05-10 14:35:42,272 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-redis.xml]
2017-05-10 14:35:42,294 [main] INFO  org.springframework.context.support.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@2fd6b6c7: startup date [Wed May 10 14:35:42 CST 2017]; root of context hierarchy
2017-05-10 14:35:42,839 [main] INFO  org.springframework.beans.factory.config.PropertyPlaceholderConfigurer - Loading properties file from class path resource [entry/dev/spring.properties]
2017-05-10 14:35:42,840 [main] INFO  org.springframework.beans.factory.config.PropertyPlaceholderConfigurer - Loading properties file from class path resource [entry/dev/oss.properties]
2017-05-10 14:35:43,554 [main] INFO  io.searchbox.client.AbstractJestClient - Setting server pool to a list of 1 servers: [http://192.168.5.142:9200]
2017-05-10 14:35:43,557 [main] INFO  io.searchbox.client.JestClientFactory - Using multi thread/connection supporting pooling connection manager
2017-05-10 14:35:43,638 [main] INFO  io.searchbox.client.JestClientFactory - Using default GSON instance
2017-05-10 14:35:43,638 [main] INFO  io.searchbox.client.JestClientFactory - Node Discovery disabled...
2017-05-10 14:35:43,638 [main] INFO  io.searchbox.client.JestClientFactory - Idle connection reaping disabled...
2017-05-10 14:35:44,272 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2017-05-10 14:35:45,941 [Thread-3] INFO  org.springframework.context.support.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@2fd6b6c7: startup date [Wed May 10 14:35:42 CST 2017]; root of context hierarchy
2017-05-10 14:35:45,947 [Thread-3] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2017-05-10 14:51:20,282 [main] INFO  org.springframework.test.context.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-05-10 14:51:20,478 [main] INFO  org.springframework.test.context.support.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@17c386de, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5af97850, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@5ef60048, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1d548a08, org.springframework.test.context.transaction.TransactionalTestExecutionListener@16aa0a0a, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@780cb77]
2017-05-10 14:51:20,719 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [entry/dev/spring-entry.xml]
2017-05-10 14:51:20,866 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring.xml]
2017-05-10 14:51:21,099 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-redis.xml]
2017-05-10 14:51:21,162 [main] INFO  org.springframework.context.support.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@2fd6b6c7: startup date [Wed May 10 14:51:21 CST 2017]; root of context hierarchy
2017-05-10 14:51:21,461 [main] INFO  org.springframework.beans.factory.config.PropertyPlaceholderConfigurer - Loading properties file from class path resource [entry/dev/spring.properties]
2017-05-10 14:51:21,462 [main] INFO  org.springframework.beans.factory.config.PropertyPlaceholderConfigurer - Loading properties file from class path resource [entry/dev/oss.properties]
2017-05-10 14:51:22,190 [main] INFO  io.searchbox.client.AbstractJestClient - Setting server pool to a list of 1 servers: [http://192.168.5.142:9200]
2017-05-10 14:51:22,192 [main] INFO  io.searchbox.client.JestClientFactory - Using multi thread/connection supporting pooling connection manager
2017-05-10 14:51:22,271 [main] INFO  io.searchbox.client.JestClientFactory - Using default GSON instance
2017-05-10 14:51:22,271 [main] INFO  io.searchbox.client.JestClientFactory - Node Discovery disabled...
2017-05-10 14:51:22,271 [main] INFO  io.searchbox.client.JestClientFactory - Idle connection reaping disabled...
2017-05-10 14:51:23,020 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2017-05-10 14:51:33,641 [Thread-3] INFO  org.springframework.context.support.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@2fd6b6c7: startup date [Wed May 10 14:51:21 CST 2017]; root of context hierarchy
2017-05-10 14:51:33,684 [Thread-3] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2017-05-10 14:53:12,555 [main] INFO  org.springframework.test.context.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-05-10 14:53:12,591 [main] INFO  org.springframework.test.context.support.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1807e3f6, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@480d3575, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@f1da57d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@194fad1, org.springframework.test.context.transaction.TransactionalTestExecutionListener@26abb146, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@72c8e7b]
2017-05-10 14:53:12,822 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [entry/dev/spring-entry.xml]
2017-05-10 14:53:12,956 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring.xml]
2017-05-10 14:53:13,201 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-redis.xml]
2017-05-10 14:53:13,224 [main] INFO  org.springframework.context.support.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@24105dc5: startup date [Wed May 10 14:53:13 CST 2017]; root of context hierarchy
2017-05-10 14:53:13,599 [main] INFO  org.springframework.beans.factory.config.PropertyPlaceholderConfigurer - Loading properties file from class path resource [entry/dev/spring.properties]
2017-05-10 14:53:13,600 [main] INFO  org.springframework.beans.factory.config.PropertyPlaceholderConfigurer - Loading properties file from class path resource [entry/dev/oss.properties]
2017-05-10 14:53:14,394 [main] INFO  io.searchbox.client.AbstractJestClient - Setting server pool to a list of 1 servers: [http://192.168.5.142:9200]
2017-05-10 14:53:14,399 [main] INFO  io.searchbox.client.JestClientFactory - Using multi thread/connection supporting pooling connection manager
2017-05-10 14:53:14,494 [main] INFO  io.searchbox.client.JestClientFactory - Using default GSON instance
2017-05-10 14:53:14,494 [main] INFO  io.searchbox.client.JestClientFactory - Node Discovery disabled...
2017-05-10 14:53:14,494 [main] INFO  io.searchbox.client.JestClientFactory - Idle connection reaping disabled...
2017-05-10 14:53:15,438 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2017-05-10 14:53:19,640 [Thread-3] INFO  org.springframework.context.support.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@24105dc5: startup date [Wed May 10 14:53:13 CST 2017]; root of context hierarchy
2017-05-10 14:53:19,656 [Thread-3] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
